"","Feature","Comparison","P.Value"
"1","top.distance","True receptor pairs vs Negative receptor pairs",2.22041994285315e-32
"2","top.kdist","True receptor pairs vs Negative receptor pairs",2.63467735591247e-42
"3","top.corr","True receptor pairs vs Negative receptor pairs",1.97816347669887e-39
"4","top.shapSim","True receptor pairs vs Negative receptor pairs",2.64106066644026e-16
"5","top.med_scr","True receptor pairs vs Negative receptor pairs",6.80839468679656e-44
"6","top.patDist","True receptor pairs vs Negative receptor pairs",2.92969201643474e-27
"7","avg.distance","True receptor pairs vs Negative receptor pairs",2.97448251474002e-36
"8","avg.kdist","True receptor pairs vs Negative receptor pairs",7.07257655668514e-51
"9","avg.corr","True receptor pairs vs Negative receptor pairs",9.56285287552566e-53
"10","count","True receptor pairs vs Negative receptor pairs",7.976371020364e-40
"11","CDR3.similarity","True receptor pairs vs Negative receptor pairs",1.02768164113536e-80
"12","CDR.similarity","True receptor pairs vs Negative receptor pairs",4.3756614029585e-118
"13","full.similarity","True receptor pairs vs Negative receptor pairs",6.50433092717352e-93
