"","Feature","Comparison","P.Value"
"1","top.distance","True receptor pairs vs Unlikely receptor pairs",4.09017311420221e-11
"2","top.distance","True receptor pairs vs Decoy receptor pairs",1.29069012022561e-05
"3","top.kdist","True receptor pairs vs Unlikely receptor pairs",1.99582667207992e-30
"4","top.kdist","True receptor pairs vs Decoy receptor pairs",1.45535109371627e-06
"5","top.corr","True receptor pairs vs Unlikely receptor pairs",4.41680774409526e-13
"6","top.corr","True receptor pairs vs Decoy receptor pairs",2.56201128574008e-08
"7","top.shapSim","True receptor pairs vs Unlikely receptor pairs",1.2726587757813e-06
"8","top.shapSim","True receptor pairs vs Decoy receptor pairs",0.31582001727726
"9","top.med_scr","True receptor pairs vs Unlikely receptor pairs",6.93856784632787e-25
"10","top.med_scr","True receptor pairs vs Decoy receptor pairs",0.0636141537776077
"11","top.patDist","True receptor pairs vs Unlikely receptor pairs",3.7220099388713e-15
"12","top.patDist","True receptor pairs vs Decoy receptor pairs",3.06721718596224e-09
"13","avg.distance","True receptor pairs vs Unlikely receptor pairs",2.06419940407321e-21
"14","avg.distance","True receptor pairs vs Decoy receptor pairs",1.37154492145148e-10
"15","avg.kdist","True receptor pairs vs Unlikely receptor pairs",1.54233442788597e-32
"16","avg.kdist","True receptor pairs vs Decoy receptor pairs",0.308455968542232
"17","avg.corr","True receptor pairs vs Unlikely receptor pairs",1.03973938812169e-11
"18","avg.corr","True receptor pairs vs Decoy receptor pairs",5.49924407932957e-05
"19","count","True receptor pairs vs Unlikely receptor pairs",1.85034552124027e-33
"20","count","True receptor pairs vs Decoy receptor pairs",3.05539541004907e-26
"21","CDR3.similarity","True receptor pairs vs Unlikely receptor pairs",3.20577095991715e-79
"22","CDR3.similarity","True receptor pairs vs Decoy receptor pairs",6.18332335027709e-13
"23","CDR.similarity","True receptor pairs vs Unlikely receptor pairs",4.21710711325606e-106
"24","CDR.similarity","True receptor pairs vs Decoy receptor pairs",1.34696501322099e-26
"25","full.similarity","True receptor pairs vs Unlikely receptor pairs",5.92683120808622e-71
"26","full.similarity","True receptor pairs vs Decoy receptor pairs",1.00525384573051e-35
