"","Feature","Comparison","P.Value"
"1","top.distance","True receptor pairs vs Negative receptor pairs",4.62530605091213e-11
"2","top.kdist","True receptor pairs vs Negative receptor pairs",2.26836203718723e-24
"3","top.corr","True receptor pairs vs Negative receptor pairs",3.59709759439548e-13
"4","top.shapSim","True receptor pairs vs Negative receptor pairs",1.56260892425915e-05
"5","top.med_scr","True receptor pairs vs Negative receptor pairs",1.82697942367484e-16
"6","top.patDist","True receptor pairs vs Negative receptor pairs",3.52683201601325e-16
"7","avg.distance","True receptor pairs vs Negative receptor pairs",5.09211062475518e-22
"8","avg.kdist","True receptor pairs vs Negative receptor pairs",2.59173339149948e-19
"9","avg.corr","True receptor pairs vs Negative receptor pairs",1.68506050008811e-10
"10","count","True receptor pairs vs Negative receptor pairs",4.96078374993299e-37
"11","CDR3.similarity","True receptor pairs vs Negative receptor pairs",1.82644142165102e-58
"12","CDR.similarity","True receptor pairs vs Negative receptor pairs",2.32637582514855e-88
"13","full.similarity","True receptor pairs vs Negative receptor pairs",2.83546771689415e-77
