".metric","combined.estimate","structure.estimate","sequence.estimate"
"accuracy",0.580224833929484,0.574603985692386,0.678845171180378
"kap",0.10891846149881,0.104279871975774,0.172341571621359
"sens",0.47198275862069,0.482758620689655,0.20617816091954
"spec",0.639968279143537,0.625297383029342,0.939730372720063
"precision",0.419808306709265,0.415584415584416,0.65375854214123
"recall",0.47198275862069,0.482758620689655,0.20617816091954
"bal_accuracy",0.555975518882113,0.554028001859499,0.572954266819802
"f_meas",0.429299529534762,0.427480916030534,0.45584498094028
"roc_auc",0.581990836956621,0.577323575523895,0.586338924362165
"mn_log_loss",0.672486729940339,0.6788322690737,0.629201327375981
