"Dataset","Approach","Model","Epitopes","Feature","(Intercept)","avg.kas","avg.euc.dist","avg.spearman","top.sg.euc.dist","top.sg.cosine.sim","kernel.count","top.kas","CDR3.similarity","full.similarity"
"CDR3","Combined","Model 1","All","all.features",-0.0364519052172085,-0.195693195110809,0.0898717588333855,-0.00207445726968854,0.0848620863158866,-0.0419907844814868,0.484861526645451,0.069522919593496,0.053835915975584,0.383420700700174
"CDR3","Combined","Model 1","All","tuned.features",-0.0363475547385421,-0.0987970330338925,0.0602020377423728,0,0.0607268427460693,-0.0162434499342152,0.432807520389592,0,0.03862434221034,0.347636553678002
"CDR3","Combined","Model 2","All","all.features",-0.153673415768444,0.0298458058998845,0.00131317266555884,0.0286102823198208,0.0835793558269981,-0.0191868902494572,0.0693611249042383,-0.0257003112133031,0.0981140946798088,0.433806113525346
"CDR3","Combined","Model 2","All","tuned.features",-0.15178660957049,0.0086598415042922,0,0.025993512498063,0.0725256683091786,-0.01231097088682,0.0550191207631728,0,0.0944515497098604,0.431227449835245
"CDR3","Structure","Model 1","All","all.features",-0.028789699560809,-0.138984221404965,0.0540357298474121,0.0418160365746934,0.0760882425731882,-0.0134472001275251,0.733914563010112,0.0428716200689474,NA,NA
"CDR3","Structure","Model 1","All","tuned.features",-0.0287139704712209,-0.115924759836413,0.0490003345814501,0.035075713542028,0.0722012964784825,-0.00910620986427287,0.724166389199354,0.023885305113393,NA,NA
"CDR3","Structure","Model 2","All","all.features",-0.0925544073566043,0.0959964397014108,-0.0391669849122958,0.0916373278899803,0.0736950755397685,0.0163428745571224,0.351297323979789,-0.0596390073644238,NA,NA
"CDR3","Structure","Model 2","All","tuned.features",-0.0913703983070333,0.0635575111723045,-0.0207461580718267,0.0901670490501973,0.0471603191834001,0.00975102615602705,0.336118804165597,-0.0178561436957984,NA,NA
"CDR3","Sequence","Model 1","All","both",-0.0400295335870329,NA,NA,NA,NA,NA,NA,NA,0.0571880466419077,0.543548269069436
"CDR3","Sequence","Model 1","All","cdr3",-0.0123012340153656,NA,NA,NA,NA,NA,NA,NA,0.293460448657929,NA
"CDR3","Sequence","Model 1","All","full",-0.0387419451196217,NA,NA,NA,NA,NA,NA,NA,NA,0.587001055936939
"CDR3","Sequence","Model 2","All","both",-0.15207781328107,NA,NA,NA,NA,NA,NA,NA,0.100934262213782,0.457059952410505
"CDR3","Sequence","Model 2","All","cdr3",-0.0607589203854706,NA,NA,NA,NA,NA,NA,NA,0.324721824424127,NA
"CDR3","Sequence","Model 2","All","full",-0.140179467991656,NA,NA,NA,NA,NA,NA,NA,NA,0.523403245806846
"Full","Combined","Model 1","All","all.features",-0.0423155382419397,-0.190063380317373,0.0306480900622826,-0.0468183857202236,0.145684129016338,0.024736640774617,0.331078482292683,0.0907696607137753,0.0654426060134383,0.404964238419769
"Full","Combined","Model 1","All","tuned.features",-0.0420077286925502,-0.170672634306809,0.0249301386541812,-0.0419815098146953,0.139740238458512,0.0202588562859388,0.326737819648328,0.0714779100690505,0.0626557387039565,0.398623244077527
"Full","Combined","Model 2","All","all.features",-0.11965352305979,0.0425640296700845,0.0740141801232864,0.0333436776950984,0.0696372586115781,-0.0499928249779632,0.0928722846384339,0.00843555907066958,0.132861717093314,0.355818238971915
"Full","Combined","Model 2","All","tuned.features",-0.115827327763412,0.0388049350510586,0.0538434043483413,0.0236324701379807,0.0554019596581354,-0.0340267415326463,0.074433668331821,0.00411818127645134,0.123139484186807,0.347182393843526
"Full","Structure","Model 1","All","all.features",-0.0345909578194622,-0.128150567873729,-0.00383547830665621,0.00889585202149586,0.131462623933065,0.0534084359191923,0.573321012466613,0.0557904543034251,NA,NA
"Full","Structure","Model 1","All","tuned.features",-0.0342722216289275,-0.104541311712553,0,0.00353479650480073,0.119795469241259,0.0497227386714756,0.56849899424829,0.0355579888530134,NA,NA
"Full","Structure","Model 2","All","all.features",-0.0630553042176799,0.100529325963337,0.0305697236051401,0.0834549241060091,0.0606581424203537,-0.0158430620604923,0.321854450425729,-0.0270524225295888,NA,NA
"Full","Structure","Model 2","All","tuned.features",-0.0605940335703787,0.0723178503360969,0.00656985436574164,0.070557267411722,0.0433306944938016,0,0.284781038796806,0,NA,NA
"Full","Sequence","Model 1","All","both",-0.0374955392198024,NA,NA,NA,NA,NA,NA,NA,0.068266440866311,0.497265629833856
"Full","Sequence","Model 1","All","cdr3",-0.0110240140022273,NA,NA,NA,NA,NA,NA,NA,0.226084910241244,NA
"Full","Sequence","Model 1","All","full",-0.0361262413442788,NA,NA,NA,NA,NA,NA,NA,NA,0.527614060339879
"Full","Sequence","Model 2","All","both",-0.117140033640131,NA,NA,NA,NA,NA,NA,NA,0.131068155955274,0.380091390639662
"Full","Sequence","Model 2","All","cdr3",-0.0399994928634057,NA,NA,NA,NA,NA,NA,NA,0.280179315745279,NA
"Full","Sequence","Model 2","All","full",-0.110832861057619,NA,NA,NA,NA,NA,NA,NA,NA,0.434267142395425
