"term","all.features","all.features.p.value","tuned.features","tuned.penalty"
"(Intercept)",-0.153673415768444,8.82288151662557e-08,-0.15178660957049,0.001176811952435
"avg.kas",0.0298458058998845,0.535902274910367,0.0086598415042922,0.001176811952435
"avg.euc.dist",0.00131317266555884,0.975964645614222,0,0.001176811952435
"avg.spearman",0.0286102823198208,0.376018032660013,0.025993512498063,0.001176811952435
"top.sg.euc.dist",0.0835793558269981,0.0458024218223564,0.0725256683091786,0.001176811952435
"top.sg.cosine.sim",-0.0191868902494572,0.53329531159402,-0.01231097088682,0.001176811952435
"kernel.count",0.0693611249042383,0.0911261972879659,0.0550191207631728,0.001176811952435
"top.kas",-0.0257003112133031,0.601192450543499,0,0.001176811952435
"CDR3.similarity",0.0981140946798088,0.000907224207203484,0.0944515497098604,0.001176811952435
"full.similarity",0.433806113525346,8.96627202428374e-30,0.431227449835245,0.001176811952435
