"Dataset","Approach","Model","Epitopes","Feature","X.Intercept.","avg.kas","avg.euc.dist","avg.spearman","top.sg.euc.dist","top.sg.cosine.sim","kernel.count","top.kas","CDR3.similarity","full.similarity"
"CDR3","Combined","Model 1","All","all.features",-0.0364519052172085,-0.195693195110809,0.0898717588333855,-0.00207445726968854,0.0848620863158866,-0.0419907844814868,0.484861526645451,0.069522919593496,0.053835915975584,0.383420700700174
"CDR3","Combined","Model 1","All","tuned.features",-0.0363475547385421,-0.0987970330338925,0.0602020377423728,0,0.0607268427460693,-0.0162434499342152,0.432807520389592,0,0.03862434221034,0.347636553678002
"CDR3","Combined","Model 2","All","all.features",-0.153673415768444,0.0298458058998845,0.00131317266555884,0.0286102823198208,0.0835793558269981,-0.0191868902494572,0.0693611249042383,-0.0257003112133031,0.0981140946798088,0.433806113525346
"CDR3","Combined","Model 2","All","tuned.features",-0.15178660957049,0.0086598415042922,0,0.025993512498063,0.0725256683091786,-0.01231097088682,0.0550191207631728,0,0.0944515497098604,0.431227449835245
"CDR3","Structure","Model 1","All","all.features",-0.028789699560809,-0.138984221404965,0.0540357298474121,0.0418160365746934,0.0760882425731882,-0.0134472001275251,0.733914563010112,0.0428716200689474,NA,NA
"CDR3","Structure","Model 1","All","tuned.features",-0.0287139704712209,-0.115924759836413,0.0490003345814501,0.035075713542028,0.0722012964784825,-0.00910620986427287,0.724166389199354,0.023885305113393,NA,NA
"CDR3","Structure","Model 2","All","all.features",-0.0925544073566043,0.0959964397014108,-0.0391669849122958,0.0916373278899803,0.0736950755397685,0.0163428745571224,0.351297323979789,-0.0596390073644238,NA,NA
"CDR3","Structure","Model 2","All","tuned.features",-0.0913703983070333,0.0635575111723045,-0.0207461580718267,0.0901670490501973,0.0471603191834001,0.00975102615602705,0.336118804165597,-0.0178561436957984,NA,NA
"CDR3","Sequence","Model 1","All","both",-0.0400295335870329,NA,NA,NA,NA,NA,NA,NA,0.0571880466419077,0.543548269069436
"CDR3","Sequence","Model 1","All","cdr3",-0.0123012340153656,NA,NA,NA,NA,NA,NA,NA,0.293460448657929,NA
"CDR3","Sequence","Model 1","All","full",-0.0387419451196217,NA,NA,NA,NA,NA,NA,NA,NA,0.587001055936939
"CDR3","Sequence","Model 2","All","both",-0.15207781328107,NA,NA,NA,NA,NA,NA,NA,0.100934262213782,0.457059952410505
"CDR3","Sequence","Model 2","All","cdr3",-0.0607589203854706,NA,NA,NA,NA,NA,NA,NA,0.324721824424127,NA
"CDR3","Sequence","Model 2","All","full",-0.140179467991656,NA,NA,NA,NA,NA,NA,NA,NA,0.523403245806846
