".metric","combined.estimate","structure.estimate","sequence.estimate"
"accuracy",0.625575073191133,0.63310330405688,0.642095357590966
"kap",0.0769570851831285,0.0658135637550736,0.0810781588358277
"sens",0.474137931034483,0.4375,0.452586206896552
"spec",0.651370533529124,0.666421928536466,0.674375917767988
"precision",0.188087774294671,0.182608695652174,0.191431175934366
"recall",0.474137931034483,0.4375,0.452586206896552
"bal_accuracy",0.562754232281803,0.551960964268233,0.56348106233227
"f_meas",0.213896810993,0.206692913385827,0.216405605935697
"roc_auc",0.603002929824857,0.57903248265735,0.598281435487591
"mn_log_loss",0.663719186863184,0.676323001452864,0.663974509598199
