".metric","combined.estimate","structure.estimate","sequence.estimate"
"accuracy",0.615955667084902,0.630593893768298,0.564721873693016
"kap",0.0752112094960005,0.065070511481752,0.0556675837960962
"sens",0.487787356321839,0.440373563218391,0.533045977011494
"spec",0.637787567302986,0.662995594713656,0.570117474302496
"f_meas",0.269926455972968,0.25761714645934,0.262794404108376
"precision",0.186589722451223,0.182061182061182,0.174383078730905
"recall",0.487787356321839,0.440373563218391,0.533045977011494
"bal_accuracy",0.562787461812412,0.551684578966024,0.551581725656995
"roc_auc",0.591602739379209,0.580233932379136,0.572996092277527
"pr_auc",0.259782071124429,0.227232611359447,0.250496634148378
"mn_log_loss",0.668772592194787,0.676485795759815,0.678945975718944
