"term","combined.estimate","combined.p.value","structure.estimate","structure.p.value","sequence.estimate","sequence.p.value"
"(Intercept)",-0.0148519995541211,0.535806699333746,-0.0120340397868717,0.504837739201444,-0.570105829740826,2.78796813364482e-158
"avg.euc.dist",0.0672329690744121,0.0213877493732782,NA,NA,NA,NA
"top.sg.median.kas",0.0152082378351258,0.593342621165633,NA,NA,NA,NA
"avg.spearman",0.126664863665792,2.29980222722554e-05,0.223733369900782,3.23469662316002e-22,NA,NA
"top.cosine.sim",-0.00588722310679914,0.817912727991841,0.00361674751100666,0.854217930276193,NA,NA
"kernel.count",0.0545658599447971,0.162389535862004,0.312886925266187,5.07833545564454e-32,NA,NA
"CDR3.similarity",0.0946029438866534,0.00033992407866446,NA,NA,0.117110416480775,7.47789332925383e-07
"full.similarity",0.315408005743101,2.40968965085458e-16,NA,NA,0.378898940489577,5.73858475486011e-59
"top.sg.euc.dist",NA,NA,0.0515473891687938,0.0165780820792332,NA,NA
"top.kas",NA,NA,-0.075891878098495,0.00104497574891177,NA,NA
