".metric","combined.estimate","structure.estimate","sequence.estimate"
"accuracy",0.610972201794381,0.609795558170319,0.62244447712899
"kap",0.0834388056999471,0.0666162210797939,0.0997912961902826
"sens",0.48881239242685,0.45697074010327,0.5
"spec",0.636153982614866,0.64129856306546,0.647684938797233
"f_meas",0.30044961650357,0.285868102288022,0.311611692142666
"precision",0.216876670484918,0.207990599294947,0.226334242306194
"recall",0.48881239242685,0.45697074010327,0.5
"bal_accuracy",0.562483187520858,0.549134651584365,0.573842469398616
"roc_auc",0.599916124621652,0.574459321357505,0.601371348695932
"pr_auc",0.28741337360378,0.248861968488488,0.288094561154654
"mn_log_loss",0.669653828107472,0.681060363046434,0.66976790196244
