"term","combined.estimate","combined.p.value","structure.estimate","structure.p.value","sequence.estimate","sequence.p.value"
"(Intercept)",-0.0136704226751512,0.418828333540991,-0.00967420855065018,0.565239144037664,-0.0113175937098606,0.501831643243619
"avg.euc.dist",-0.0034883096714726,0.893191528807744,-0.0120430784387635,0.641317428657677,NA,NA
"avg.kas",-0.270194255945661,8.787522756098e-12,-0.235521452187411,1.40652966357853e-09,NA,NA
"top.sg.median.kas",0.139490717939937,0.000246643581914249,0.144155309928386,0.000113683493435666,NA,NA
"top.sg.euc.dist",0.00692671830700566,0.78306480249671,-0.0142348943513367,0.569657434966041,NA,NA
"avg.spearman",0.0130950084787343,0.515097874491218,0.0358240780009383,0.0691835771979189,NA,NA
"top.cosine.sim",-0.0567045264550706,0.00247787832707492,-0.0488521353718041,0.00812538104898573,NA,NA
"kernel.count",0.168667384567737,1.26835318795848e-10,0.305516932759102,8.43030888520657e-42,NA,NA
"CDR3.similarity",0.0885990778277548,1.54714310855428e-06,NA,NA,0.068933863882951,0.000120187469800732
"full.similarity",0.225518691375763,1.79516362818797e-19,NA,NA,0.279912386790841,1.15351520501963e-53
