".metric","combined.estimate","structure.estimate","sequence.estimate"
"accuracy",0.584293755025462,0.571964620745109,0.582685607075851
"kap",0.0922444434927839,0.0809640364979503,0.0902811653525009
"sens",0.414965986394558,0.435374149659864,0.416477702191988
"spec",0.677325581395349,0.647009966777409,0.674003322259136
"precision",0.414027149321267,0.403927068723703,0.412425149700599
"recall",0.414965986394558,0.435374149659864,0.416477702191988
"bal_accuracy",0.546145783894953,0.541192058218636,0.545240512225562
"f_meas",0.414214576731553,0.409847730183578,0.413229338533073
"roc_auc",0.565314534820942,0.560842166323894,0.556614321623814
"mn_log_loss",0.679695489774538,0.684515818211336,0.681320833864578
