".metric","combined.estimate","structure.estimate","sequence.estimate"
"accuracy",0.615384615384615,0.624356523018091,0.62244447712899
"kap",0.0900990705536918,0.0715626211029965,0.0989593989384436
"sens",0.493975903614458,0.439759036144578,0.498278829604131
"spec",0.640411566436048,0.662409082845485,0.648039737448998
"precision",0.220684352172241,0.211681855840928,0.22590714007023
"recall",0.493975903614458,0.439759036144578,0.498278829604131
"bal_accuracy",0.567193735025253,0.551084059495032,0.573159283526564
"f_meas",0.248141103233616,0.236180440007395,0.253635885754337
"roc_auc",0.600346340887003,0.57499716802281,0.601041282136071
"mn_log_loss",0.669618443215098,0.680785292266695,0.669165624058105
