".metric","combined.estimate","structure.estimate","sequence.estimate"
"accuracy",0.623958790004384,0.627356422621657,0.623629986847874
"kap",0.0773223770554811,0.0510522834658579,0.0780998104932583
"sens",0.478458049886621,0.417989417989418,0.480725623582766
"spec",0.648634790411486,0.662863735418536,0.647865658248942
"precision",0.187611144042679,0.173735469682689,0.187998817617499
"recall",0.478458049886621,0.417989417989418,0.480725623582766
"bal_accuracy",0.563546420149054,0.540426576703977,0.564295640915854
"f_meas",0.213577164451043,0.19672714336535,0.214069336923595
"roc_auc",0.58943699971407,0.556019767219797,0.59051182751441
"mn_log_loss",0.673075502795723,0.68352393794801,0.674001769150678
