"Dataset","Model","Approach","Features","NLV","accuracy","kap","sens","spec","f_meas","precision","recall","bal_accuracy","roc_auc","pr_auc","mn_log_loss"
"CDR3","Model 1","Combined",9,"Yes",0.600408788962698,0.128988103063904,0.440373563218391,0.688739095955591,0.439426523297491,0.438483547925608,0.440373563218391,0.564556329586991,0.593374568167938,0.499346697491126,0.668945772721188
"CDR3","Model 1","Structure",7,"Yes",0.573326520183955,0.100332428212463,0.477729885057471,0.62609040444092,0.443333333333333,0.413557213930348,0.477729885057471,0.551910144749196,0.576573851258352,0.464550361472242,0.678955885617662
"CDR3","Model 1","Sequence",2,"Yes",0.597342871742463,0.110868440913811,0.407327586206897,0.702220459952419,0.418450184501845,0.430197268588771,0.407327586206897,0.554774023079658,0.587017151366823,0.494079366336153,0.670746361534152
"CDR3","Model 1","Combined",9,"No",0.615683926967974,0.171950292047731,0.4766201804758,0.695570216776626,0.475061324611611,0.473512632436838,0.4766201804758,0.586095198626213,0.619945815508301,0.544769742941171,0.658411329040368
"CDR3","Model 1","Structure",7,"No",0.59203831188267,0.135024642715294,0.482362592288761,0.655042412818096,0.463174478141,0.445454545454545,0.482362592288761,0.568702502553429,0.602429410550358,0.500008642325798,0.670435188131068
"CDR3","Model 1","Sequence",2,"No",0.603112840466926,0.140369491439914,0.447087776866284,0.692742695570217,0.451158940397351,0.455304928989139,0.447087776866284,0.56991523621825,0.606036684323533,0.539120277959242,0.662535250724368
"CDR3","Model 2","Combined",9,"Yes",0.630593893768298,0.0771886610719461,0.46551724137931,0.658712677435144,0.268378546282874,0.188536514402095,0.46551724137931,0.562114959407227,0.599859310738659,0.290442398999385,0.663507019916476
"CDR3","Model 2","Structure",7,"Yes",0.629548306148055,0.0652299922636873,0.442528735632184,0.661404796867352,0.258010471204189,0.182086905113804,0.442528735632184,0.551966766249768,0.578623003415082,0.227656375864604,0.67621722329413
"CDR3","Model 2","Sequence",2,"Yes",0.642095357590966,0.0810781588358277,0.452586206896552,0.674375917767988,0.269058295964126,0.191431175934366,0.452586206896552,0.56348106233227,0.598281435487591,0.29187615259054,0.663974509598199
"CDR3","Model 2","Combined",9,"No",0.646628185273828,0.113087970919224,0.4766201804758,0.681849082256968,0.316448801742919,0.236852833265389,0.4766201804758,0.579234631366384,0.623254815969002,0.350383647379129,0.656193473157084
"CDR3","Model 2","Structure",7,"No",0.636491623257778,0.0867989680100854,0.445447087776866,0.676070700203943,0.296074154852781,0.221723152307064,0.445447087776866,0.560758893990405,0.591957082205662,0.285011807214773,0.670990312153209
"CDR3","Model 2","Sequence",2,"No",0.65028861044629,0.110299753439423,0.463494667760459,0.688987083616587,0.312672938572219,0.235908141962422,0.463494667760459,0.576240875688523,0.620480646058972,0.346782551852576,0.657897350584957
"CDR3","Model 1","Combined",7,"Yes",0.600664282064384,0.125749730118593,0.431034482758621,0.694290245836638,0.434310532030402,0.437636761487965,0.431034482758621,0.562662364297629,0.595085944834878,0.49894477443332,0.668853198772847
"CDR3","Model 1","Structure",5,"Yes",0.574603985692386,0.104279871975774,0.482758620689655,0.625297383029342,0.44666001994018,0.415584415584416,0.482758620689655,0.554028001859499,0.577323575523895,0.465203682956756,0.6788322690737
"CDR3","Model 1","Combined",7,"No",0.610894941634241,0.15455852822758,0.450369155045119,0.70311027332705,0.457881567973311,0.465648854961832,0.450369155045119,0.576739714186084,0.615844865965289,0.541107577345713,0.659485572957727
"CDR3","Model 1","Structure",5,"No",0.59383418138282,0.136462463937026,0.478260869565217,0.660226201696513,0.462148236226714,0.447085889570552,0.478260869565217,0.569243535630865,0.598720076946927,0.497943415943492,0.671510305512577
"CDR3","Model 2","Combined",7,"Yes",0.654119615223756,0.0860338882930154,0.440373563218391,0.690528634361233,0.270401411557124,0.195098663271801,0.440373563218391,0.565451098789812,0.601977385634153,0.288014197343606,0.66186727126834
"CDR3","Model 2","Structure",5,"Yes",0.631012128816395,0.0657785082219814,0.441091954022989,0.663362701908957,0.258145890266975,0.182466567607727,0.441091954022989,0.552227327965973,0.580419419970631,0.228421822959004,0.6752951853147
"CDR3","Model 2","Combined",7,"No",0.650429396029847,0.116683746093522,0.475799835931091,0.686607749830048,0.318418885533901,0.239273927392739,0.475799835931091,0.581203792880569,0.623579384646786,0.35102532979019,0.655809085276457
"CDR3","Model 2","Structure",5,"No",0.640152048430241,0.0930452408632463,0.450369155045119,0.679469748470428,0.300492610837438,0.225462012320329,0.450369155045119,0.564919451757774,0.592626435393824,0.286108131335543,0.670348822813827
"CDR3","Model 1","Combined",5,"Yes",0.57026060296372,0.0991917647245557,0.487068965517241,0.616177636796194,0.446346280447663,0.411907654921021,0.487068965517241,0.551623301156717,0.575398276773588,0.479563928778503,0.676595890245515
"CDR3","Model 1","Structure",4,"Yes",0.578947368421053,0.111631653116292,0.484195402298851,0.631245043616178,0.449933244325768,0.420199501246883,0.484195402298851,0.557720222957514,0.57821914280766,0.465130120597289,0.678710097215609
"CDR3","Model 1","Sequence",1,"Yes",0.537812979049566,0.0567001038366816,0.504310344827586,0.556304520222046,0.436974789915966,0.385502471169687,0.504310344827586,0.530307432524816,0.545498464090714,0.459806072489318,0.686991813680341
"CDR3","Model 1","Combined",5,"No",0.589643819215804,0.13558187815593,0.494667760459393,0.644203581526861,0.467986030267753,0.444035346097202,0.494667760459393,0.569435670993127,0.595403519053874,0.515302834414523,0.668512341563449
"CDR3","Model 1","Structure",4,"No",0.591439688715953,0.131670296079758,0.475799835931091,0.657869934024505,0.459405940594059,0.444104134762634,0.475799835931091,0.566834884977798,0.598451396711972,0.497822298913214,0.671501544115874
"CDR3","Model 1","Sequence",1,"No",0.547440885962287,0.0794667327540964,0.522559474979491,0.561734213006598,0.457286432160804,0.406509253350351,0.522559474979491,0.542146843993044,0.554628683915293,0.48094341777947,0.683721036684334
"CDR3","Model 2","Combined",5,"Yes",0.619928900041824,0.0772022275104485,0.484913793103448,0.6429270680372,0.270812437311936,0.187865293626496,0.484913793103448,0.563920430570324,0.591995164312117,0.261148900387464,0.668513082329197
"CDR3","Model 2","Structure",4,"Yes",0.63310330405688,0.0668702197365509,0.439655172413793,0.666054821341165,0.258609761250792,0.183178689015265,0.439655172413793,0.552854996877479,0.579869638265791,0.22863577595421,0.675172794497963
"CDR3","Model 2","Sequence",1,"Yes",0.564721873693016,0.0556675837960962,0.533045977011494,0.570117474302496,0.262794404108376,0.174383078730905,0.533045977011494,0.551581725656995,0.572996092277527,0.250496634148378,0.678945975718944
"CDR3","Model 2","Combined",5,"No",0.616077713642123,0.0985431073330875,0.509433962264151,0.638171312032631,0.312925170068027,0.225818181818182,0.509433962264151,0.573802637148391,0.613702207680455,0.330738306652462,0.66170797509605
"CDR3","Model 2","Structure",4,"No",0.639166549345347,0.0907732936606258,0.447908121410993,0.678789938817131,0.298768809849521,0.224137931034483,0.447908121410993,0.563349030114062,0.59305975130901,0.286239011647142,0.670108922123426
"CDR3","Model 2","Sequence",1,"No",0.57609460791215,0.0805190643321819,0.548810500410172,0.581747110808973,0.30765693262819,0.213738019169329,0.548810500410172,0.565278805609573,0.594444884390533,0.303468571887591,0.673837025035709
"Full","Model 1","Combined",9,"Yes",0.58107745912624,0.105916809853086,0.46182917611489,0.646594684385382,0.438779174147217,0.417920656634747,0.46182917611489,0.554211930250136,0.573375344970029,0.456131949933805,0.67919965057056
"Full","Model 1","Structure",7,"Yes",0.577593138568748,0.107536569403245,0.479969765684051,0.631229235880399,0.446240337315531,0.416940249507551,0.479969765684051,0.555599500782225,0.567937437064158,0.431751417138509,0.683792567117798
"Full","Model 1","Sequence",2,"Yes",0.583489681050657,0.0859771748654262,0.402872260015117,0.682724252491694,0.406870229007634,0.41094834232845,0.402872260015117,0.542798256253406,0.557646092767118,0.449901445752629,0.681093522545893
"Full","Model 1","Combined",9,"No",0.6090625,0.158675569730815,0.472461273666093,0.686947988223749,0.467432950191571,0.462510530749789,0.472461273666093,0.579704630944921,0.608891897324332,0.499342397288269,0.669103450170474
"Full","Model 1","Structure",7,"No",0.59625,0.136349203696586,0.469018932874355,0.668792934249264,0.4575986565911,0.44672131147541,0.469018932874355,0.568905933561809,0.578086072032417,0.454883537821776,0.680028746687789
"Full","Model 1","Sequence",2,"No",0.601875,0.123686432444237,0.410499139414802,0.71099116781158,0.42818671454219,0.447467166979362,0.410499139414802,0.560745153613191,0.593409809151086,0.488887318111851,0.672779983405653
"Full","Model 2","Combined",9,"Yes",0.60905304690925,0.0650272896258053,0.478458049886621,0.631201128060505,0.261949099937927,0.18034188034188,0.478458049886621,0.554829588973563,0.58461214393604,0.232456287026632,0.673963143410039
"Full","Model 2","Structure",7,"Yes",0.615957913195967,0.0502560347613376,0.435374149659864,0.64658377131137,0.247422680412371,0.172817281728173,0.435374149659864,0.540978960485617,0.55474301558137,0.197052239929353,0.68322591687689
"Full","Model 2","Sequence",2,"Yes",0.623629986847874,0.0780998104932583,0.480725623582766,0.647865658248942,0.270293242668933,0.187998817617499,0.480725623582766,0.564295640915854,0.59051182751441,0.235344922946941,0.674001769150678
"Full","Model 2","Combined",9,"No",0.610089719076335,0.0846998102738143,0.493115318416523,0.634202590030158,0.301817224124309,0.217457305502846,0.493115318416523,0.563658954223341,0.598544562191593,0.286648349604147,0.669526336749554
"Full","Model 2","Structure",7,"No",0.608177673187233,0.0685696930639191,0.463855421686747,0.637927975873692,0.288081239978621,0.208914728682171,0.463855421686747,0.550891698780219,0.573474923032814,0.248113413510585,0.681430486284999
"Full","Model 2","Sequence",2,"No",0.62244447712899,0.0997912961902826,0.5,0.647684938797233,0.311611692142666,0.226334242306194,0.5,0.573842469398616,0.601371348695932,0.288094561154654,0.66976790196244
"Full","Model 1","Combined",7,"Yes",0.584293755025462,0.095630779598271,0.423280423280423,0.672757475083056,0.419318607263197,0.415430267062315,0.423280423280423,0.54801894918174,0.569049879087848,0.452309619986072,0.679392468883056
"Full","Model 1","Structure",5,"Yes",0.578665237201823,0.0967114568599717,0.44822373393802,0.650332225913621,0.430021754894851,0.413240418118467,0.44822373393802,0.549277979925821,0.56563941560382,0.427214817300801,0.68433441166932
"Full","Model 1","Combined",7,"No",0.6121875,0.151656738851609,0.438898450946644,0.71099116781158,0.451127819548872,0.464058234758872,0.438898450946644,0.574944809379112,0.598975320882577,0.490148223095451,0.670954863295728
"Full","Model 1","Structure",5,"No",0.5875,0.101854466402893,0.41566265060241,0.685475956820412,0.42257217847769,0.429715302491103,0.41566265060241,0.550569303711411,0.568655950030319,0.446322851550952,0.68165273639642
"Full","Model 2","Combined",7,"Yes",0.614204296361245,0.0712976325152241,0.482993197278912,0.636456864504551,0.266360983743226,0.183884892086331,0.482993197278912,0.559725030891731,0.587131347290301,0.232814410866308,0.673761342875546
"Full","Model 2","Structure",5,"Yes",0.611793073213503,0.0501921028994156,0.442176870748299,0.640558902704781,0.24830220713073,0.172617291236353,0.442176870748299,0.54136788672654,0.555779570869211,0.197202033513574,0.683715394738844
"Full","Model 2","Combined",7,"No",0.614355052213561,0.0874543995379066,0.490533562822719,0.6398793684584,0.303030303030303,0.219230769230769,0.490533562822719,0.56520646564056,0.600288785339793,0.287424667419773,0.669590644803037
"Full","Model 2","Structure",5,"No",0.607589351375202,0.0710192227091734,0.469879518072289,0.635976583288984,0.290425531914894,0.210161662817552,0.469879518072289,0.552928050680636,0.576311022238425,0.250461839132544,0.681264817834519
"Full","Model 1","Combined",5,"Yes",0.574644867327794,0.0942973791650205,0.458049886621315,0.638704318936877,0.433011789924973,0.410569105691057,0.458049886621315,0.548377102779096,0.560053663399653,0.436874256582713,0.683588033810128
"Full","Model 1","Structure",4,"Yes",0.58107745912624,0.0975095575832883,0.440665154950869,0.658222591362126,0.427262733602052,0.414651493598862,0.440665154950869,0.549443873156498,0.564570604912323,0.427731547534274,0.684359002923604
"Full","Model 1","Sequence",1,"Yes",0.522916108281962,0.0321784299243892,0.498110355253212,0.536544850498339,0.425435765009684,0.371267605633803,0.498110355253212,0.517327602875776,0.527858134763688,0.412591241186119,0.690797550390037
"Full","Model 1","Combined",5,"No",0.585,0.11552166239302,0.462134251290878,0.655053974484789,0.447127393838468,0.433064516129032,0.462134251290878,0.558594112887833,0.58039546381235,0.465826833631324,0.677915982112613
"Full","Model 1","Structure",4,"No",0.59,0.106298991350786,0.416523235800344,0.688910696761531,0.424561403508772,0.432915921288014,0.416523235800344,0.552716966280938,0.566436501649385,0.445354874015445,0.681969464558577
"Full","Model 1","Sequence",1,"No",0.5434375,0.0791550096945565,0.538726333907057,0.54612365063788,0.461481754515297,0.40361057382334,0.538726333907057,0.542424992272469,0.559477500637627,0.446483261777419,0.686336685891453
"Full","Model 2","Combined",5,"Yes",0.594914511179307,0.0610934173279909,0.494331065759637,0.611972823996923,0.261390887290168,0.177669111654442,0.494331065759637,0.55315194487828,0.575594461744589,0.220108666616853,0.676903997572176
"Full","Model 2","Structure",4,"Yes",0.611135466900482,0.0482207505472033,0.439153439153439,0.640302525317267,0.246709129511677,0.171538234425746,0.439153439153439,0.539727982235353,0.555756122899529,0.19717268010112,0.683691436708392
"Full","Model 2","Sequence",1,"Yes",0.56576063130206,0.0606147967179754,0.543461829176115,0.569542366363287,0.266296296296296,0.17635516311013,0.543461829176115,0.556502097769701,0.568545972990458,0.20323175713992,0.682638115311727
