"term","combined.estimate","combined.p.value","structure.estimate","structure.p.value","sequence.estimate","sequence.p.value"
"(Intercept)",-0.017053167782411,0.305065712785825,-0.01102612664152,0.619260965408382,-0.0153314303998378,0.492098211451757
"avg.euc.dist",0.0138035411893087,0.585407495380682,-0.000352477704889478,0.991541439241376,NA,NA
"avg.kas",-0.0541121499622356,0.169974616617205,0.00414093384711669,0.934819177009814,NA,NA
"top.sg.median.kas",0.0760147212866476,0.041960187175139,0.0613409361104231,0.195400560504134,NA,NA
"top.sg.euc.dist",0.07288616495479,0.00332470326843089,0.0353832165186094,0.281300212693874,NA,NA
"avg.spearman",0.130849069622504,7.46891508565275e-10,0.16433354986556,3.01779935000843e-09,NA,NA
"top.cosine.sim",0.0186492971447293,0.310822836831633,0.0236499883288022,0.326969279924242,NA,NA
"kernel.count",-0.0189568652708444,0.490549931078634,0.193121697590844,1.83991406172309e-10,NA,NA
"CDR3.similarity",0.0572536392461466,0.00203081252733874,NA,NA,0.0486321505043635,0.046121140529321
"full.similarity",0.352137577630534,3.21174733949581e-40,NA,NA,0.367248420658156,1.94947335722891e-48
