"term","combined.estimate","combined.p.value","structure.estimate","structure.p.value","sequence.estimate","sequence.p.value"
"(Intercept)",-0.0162906338649718,0.370534032813024,-0.0120817796648245,0.50325478413847,-0.0146095613459701,0.42017543653727
"avg.euc.dist",0.0229386220319286,0.410255627424117,-0.00681657226673477,0.806509688324834,NA,NA
"avg.kas",-0.150847538022733,0.000539356255977404,-0.0958353820026876,0.0261957769985868,NA,NA
"top.sg.median.kas",0.13922558378737,0.00071597428683063,0.117283645107936,0.00391882449493729,NA,NA
"top.sg.euc.dist",0.05029822671945,0.0652559848971632,0.058922415255937,0.0296298660243061,NA,NA
"avg.spearman",0.163792138085888,1.02043493021823e-11,0.201774569780664,2.1954702110682e-17,NA,NA
"top.cosine.sim",-0.00297887771489336,0.882290052309678,0.00470845187286271,0.812603604322865,NA,NA
"kernel.count",0.0692014589719477,0.0253528176249923,0.277287412653905,1.0579643405102e-26,NA,NA
"CDR3.similarity",0.114203830031137,2.8267716760833e-08,NA,NA,0.107578993620375,8.86934397667515e-08
"full.similarity",0.295935990351594,8.87369783683071e-24,NA,NA,0.36493565446691,8.24931951029751e-71
