".metric","combined.estimate","structure.estimate","sequence.estimate"
"accuracy",0.646628185273828,0.636491623257778,0.65028861044629
"kap",0.113087970919224,0.0867989680100854,0.110299753439423
"sens",0.4766201804758,0.445447087776866,0.463494667760459
"spec",0.681849082256968,0.676070700203943,0.688987083616587
"f_meas",0.316448801742919,0.296074154852781,0.312672938572219
"precision",0.236852833265389,0.221723152307064,0.235908141962422
"recall",0.4766201804758,0.445447087776866,0.463494667760459
"bal_accuracy",0.579234631366384,0.560758893990405,0.576240875688523
"roc_auc",0.623254815969002,0.591957082205662,0.620480646058972
"pr_auc",0.350383647379129,0.285011807214773,0.346782551852576
"mn_log_loss",0.656193473157084,0.670990312153209,0.657897350584957
