"wflow_id",".config","preproc","model",".metric",".estimator","mean","n","std_err","selected"
"basic_logreg","Preprocessor1_Model1","recipe","logistic_reg","accuracy","binary",0.855942428421173,10,0.00149849378553547,"No"
"basic_logreg","Preprocessor1_Model1","recipe","logistic_reg","bal_accuracy","binary",0.503578775164314,10,0.000651586336100688,"No"
"basic_logreg","Preprocessor1_Model1","recipe","logistic_reg","f_meas","binary",0.0160216304000474,9,0.00232461193680712,"No"
"basic_logreg","Preprocessor1_Model1","recipe","logistic_reg","kap","binary",0.0121425537767164,10,0.00220660735883474,"No"
"basic_logreg","Preprocessor1_Model1","recipe","logistic_reg","mn_log_loss","binary",0.404094196160308,10,0.00295606385025918,"No"
"basic_logreg","Preprocessor1_Model1","recipe","logistic_reg","pr_auc","binary",0.235303781122932,10,0.0054763344703373,"No"
"basic_logreg","Preprocessor1_Model1","recipe","logistic_reg","precision","binary",0.931481481481481,9,0.0349651992379615,"No"
"basic_logreg","Preprocessor1_Model1","recipe","logistic_reg","recall","binary",0.00728568597109926,10,0.00133272679686017,"No"
"basic_logreg","Preprocessor1_Model1","recipe","logistic_reg","roc_auc","binary",0.591676518566835,10,0.00519466658097969,"No"
"basic_logreg","Preprocessor1_Model1","recipe","logistic_reg","sens","binary",0.00728568597109926,10,0.00133272679686017,"No"
"basic_logreg","Preprocessor1_Model1","recipe","logistic_reg","spec","binary",0.999871864357528,10,6.52447562594626e-05,"No"
"upsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","accuracy","binary",0.611998028798333,10,0.000974298663371578,"Yes"
"upsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","bal_accuracy","binary",0.566030475060743,10,0.0037178620524688,"Yes"
"upsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","f_meas","binary",0.272347926787546,10,0.00372141104096964,"Yes"
"upsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","kap","binary",0.0776322089077396,10,0.00408605844971581,"Yes"
"upsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","mn_log_loss","binary",0.674034249766624,10,0.000910003324321513,"Yes"
"upsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","pr_auc","binary",0.234488690050637,10,0.00563870137153348,"Yes"
"upsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","precision","binary",0.187028662640052,10,0.00256452584121758,"Yes"
"upsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","recall","binary",0.501262349451461,10,0.00840266102480938,"Yes"
"upsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","roc_auc","binary",0.591285553957004,10,0.00545131578095394,"Yes"
"upsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","sens","binary",0.501262349451461,10,0.00840266102480938,"Yes"
"upsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","spec","binary",0.630798600670025,10,0.00140307658037747,"Yes"
"downsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","accuracy","binary",0.618392064165203,10,0.00292562362285829,"No"
"downsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","bal_accuracy","binary",0.561832839781979,10,0.00413317360387409,"No"
"downsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","f_meas","binary",0.267852206912203,10,0.00351592371813823,"No"
"downsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","kap","binary",0.0740917582692679,10,0.00449200495010743,"No"
"downsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","mn_log_loss","binary",0.674550368275201,10,0.000712062994531712,"No"
"downsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","pr_auc","binary",0.233266072818001,10,0.00553407683187358,"No"
"downsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","precision","binary",0.185561855604333,10,0.0022508237732904,"No"
"downsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","recall","binary",0.482100425912775,10,0.00989465207318529,"No"
"downsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","roc_auc","binary",0.591232059099344,10,0.00490288421551559,"No"
"downsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","sens","binary",0.482100425912775,10,0.00989465207318529,"No"
"downsampled_logreg","Preprocessor1_Model1","recipe","logistic_reg","spec","binary",0.641565253651182,10,0.00403133431174952,"No"
