".metric","combined.estimate","structure.estimate","sequence.estimate"
"accuracy",0.60905304690925,0.615957913195967,0.623629986847874
"kap",0.0650272896258053,0.0502560347613376,0.0780998104932583
"sens",0.478458049886621,0.435374149659864,0.480725623582766
"spec",0.631201128060505,0.64658377131137,0.647865658248942
"f_meas",0.261949099937927,0.247422680412371,0.270293242668933
"precision",0.18034188034188,0.172817281728173,0.187998817617499
"recall",0.478458049886621,0.435374149659864,0.480725623582766
"bal_accuracy",0.554829588973563,0.540978960485617,0.564295640915854
"roc_auc",0.58461214393604,0.55474301558137,0.59051182751441
"pr_auc",0.232456287026632,0.197052239929353,0.235344922946941
"mn_log_loss",0.673963143410039,0.68322591687689,0.674001769150678
