"Dataset","Model","Approach","NLV","Value_(Intercept)","Value_avg.euc.dist","Value_avg.kas","Value_top.sg.median.kas","Value_top.sg.euc.dist","Value_avg.spearman","Value_top.cosine.sim","Value_kernel.count","Value_CDR3.similarity","Value_full.similarity","Significance_(Intercept)","Significance_avg.euc.dist","Significance_avg.kas","Significance_top.sg.median.kas","Significance_top.sg.euc.dist","Significance_avg.spearman","Significance_top.cosine.sim","Significance_kernel.count","Significance_CDR3.similarity","Significance_full.similarity","Features"
"CDR3","Model 1","Combined","Yes",-0.017053167782411,0.0138035411893087,-0.0541121499622356,0.0760147212866476,0.07288616495479,0.130849069622504,0.0186492971447293,-0.0189568652708444,0.0572536392461466,0.352137577630534,0.305065712785825,0.585407495380682,0.169974616617205,0.041960187175139,0.00332470326843089,7.46891508565275e-10,0.310822836831633,0.490549931078634,0.00203081252733874,3.21174733949581e-40,9
"CDR3","Model 1","Combined","No",-0.0162906338649718,0.0229386220319286,-0.150847538022733,0.13922558378737,0.05029822671945,0.163792138085888,-0.00297887771489336,0.0692014589719477,0.114203830031137,0.295935990351594,0.370534032813024,0.410255627424117,0.000539356255977404,0.00071597428683063,0.0652559848971632,1.02043493021823e-11,0.882290052309678,0.0253528176249923,2.8267716760833e-08,8.87369783683071e-24,9
"CDR3","Model 2","Combined","Yes",-0.0683260069950098,-0.0341853926097985,-0.0137906261420942,0.0329934984663423,0.0777685706078943,0.0698624752661277,0.0120590898233177,0.0340334390961883,0.185570160237994,0.262490251515053,2.47504028214095e-13,0.0168105348625073,0.517809961348317,0.10257794087159,1.95447309785699e-08,3.18481954271114e-09,0.249626432766168,0.0159267904513746,1.75678422782517e-76,2.70052192156376e-83,9
"CDR3","Model 2","Combined","No",-0.0720760756024715,-0.0233720065524651,-0.0146915131031677,0.026113157555911,0.0562785038543221,0.0961160233091121,0.00848250677337849,0.0177637625984457,0.193798635517211,0.303087827761691,6.64541436313535e-11,0.173115132938292,0.563705357585867,0.278028055416171,0.000706907900635003,1.70522509770448e-11,0.494875048124491,0.301114344178054,1.7810258470094e-57,1.03495159114226e-75,9
"Full","Model 1","Combined","Yes",-0.0136704226751512,-0.0034883096714726,-0.270194255945661,0.139490717939937,0.00692671830700566,0.0130950084787343,-0.0567045264550706,0.168667384567737,0.0885990778277548,0.225518691375763,0.418828333540991,0.893191528807744,8.787522756098e-12,0.000246643581914249,0.78306480249671,0.515097874491218,0.00247787832707492,1.26835318795848e-10,1.54714310855428e-06,1.79516362818797e-19,9
"Full","Model 1","Combined","No",-0.0147329097832421,0.00679534060244901,-0.237710182062233,0.153512453200929,-0.0148198834579585,0.00108279636771795,-0.0302362344617136,0.111492618915484,0.101390390019504,0.26748710764523,0.545692034161748,0.854917547254007,1.29652469768561e-05,0.00342975045728089,0.682404116684515,0.969137865484387,0.253522425957405,0.00263808765675189,0.000104934497420638,8.8634168225671e-14,9
"Full","Model 2","Combined","Yes",-0.0485835688556225,-0.0614878982564776,-0.0576624495307322,0.0779282662218432,0.0594336512190524,-0.0188323588164278,0.00964440262760278,0.0902370823903718,0.214157275219715,0.159602475018023,2.89097527737268e-07,3.77557485013937e-05,0.0076853808979844,0.000185579305681386,2.42982507414248e-05,0.0965732642518815,0.365012419463902,1.49178858262258e-10,1.50429105984284e-96,3.93878599760702e-34,9
"Full","Model 2","Combined","No",-0.0544144826675804,-0.0273276451759693,-0.0674963247142431,0.074602033480425,0.0267268568154254,-0.0112958134615041,-0.00486050295710117,0.05940950608776,0.243713266375649,0.216551499135347,1.14409537362269e-06,0.118826980171535,0.00796317521548527,0.00218748751969039,0.109256897654662,0.403566213188437,0.696591967806877,0.000441702950636305,7.60641897449769e-87,3.21021245632348e-42,9
"CDR3","Model 1","Combined","Yes",-0.0153213497376983,NA,NA,0.0434621423626637,0.0803464060503153,0.10168936756346,-0.00714913275272161,-0.0165711322283079,0.0556600598843975,0.363614142302587,0.493751852561977,NA,NA,0.0981065355215583,0.00220567546446511,0.000189974896042789,0.762945794516548,0.64161386581594,0.0235059872169349,1.90115074956784e-25,7
"CDR3","Model 1","Combined","No",-0.0153977595842431,NA,NA,0.0137705137854174,0.044901285932396,0.125580688772547,-0.00842560504450012,0.0466614789275592,0.0959089422579278,0.309797284439424,0.520827751712696,NA,NA,0.6287348180095,0.112503267522011,2.67295461350703e-05,0.742517252044506,0.231621033432542,0.000277976029205109,6.09245879345792e-16,7
