"Dataset","Model","Approach","NLV","Value_(Intercept)","Value_avg.euc.dist","Value_avg.kas","Value_top.sg.median.kas","Value_top.sg.euc.dist","Value_avg.spearman","Value_top.cosine.sim","Value_kernel.count","Value_CDR3.similarity","Value_full.similarity","Significance_(Intercept)","Significance_avg.euc.dist","Significance_avg.kas","Significance_top.sg.median.kas","Significance_top.sg.euc.dist","Significance_avg.spearman","Significance_top.cosine.sim","Significance_kernel.count","Significance_CDR3.similarity","Significance_full.similarity","Features"
"CDR3","Model 1","Sequence","Yes",-0.0153314303998378,NA,NA,NA,NA,NA,NA,NA,0.0486321505043635,0.367248420658156,0.492098211451757,NA,NA,NA,NA,NA,NA,NA,0.046121140529321,1.94947335722891e-48,2
"CDR3","Model 1","Sequence","No",-0.0146095613459701,NA,NA,NA,NA,NA,NA,NA,0.107578993620375,0.36493565446691,0.42017543653727,NA,NA,NA,NA,NA,NA,NA,8.86934397667515e-08,8.24931951029751e-71,2
"CDR3","Model 2","Sequence","Yes",-0.066756697267332,NA,NA,NA,NA,NA,NA,NA,0.159848227694719,0.320958778225758,8.09732544823488e-13,NA,NA,NA,NA,NA,NA,NA,1.48445696213022e-61,2.86167856234469e-253,2
"CDR3","Model 2","Sequence","No",-0.0678792962618215,NA,NA,NA,NA,NA,NA,NA,0.163449776962658,0.39417605900978,0.00515399114639945,NA,NA,NA,NA,NA,NA,NA,2.19379296917555e-10,1.96484074305887e-53,2
"Full","Model 1","Sequence","Yes",-0.0113175937098606,NA,NA,NA,NA,NA,NA,NA,0.068933863882951,0.279912386790841,0.501831643243619,NA,NA,NA,NA,NA,NA,NA,0.000120187469800732,1.15351520501963e-53,2
"Full","Model 1","Sequence","No",-0.0133955926422898,NA,NA,NA,NA,NA,NA,NA,0.0843392040805343,0.300669293494595,0.581782034714127,NA,NA,NA,NA,NA,NA,NA,0.00122439183230872,4.34902570059657e-30,2
"Full","Model 2","Sequence","Yes",-0.0453884928588402,NA,NA,NA,NA,NA,NA,NA,0.160235795106697,0.246631054420439,0.0479946361697563,NA,NA,NA,NA,NA,NA,NA,1.06083770789829e-11,3.19823878864656e-27,2
"Full","Model 2","Sequence","No",-0.0519092813961752,NA,NA,NA,NA,NA,NA,NA,0.209003715285037,0.266490867299037,3.34985647841594e-06,NA,NA,NA,NA,NA,NA,NA,6.32560008413447e-70,3.60553068761948e-122,2
"CDR3","Model 1","Sequence","Yes",-0.00644458307691398,NA,NA,NA,NA,NA,NA,NA,0.208002437616237,NA,0.769841571842395,NA,NA,NA,NA,NA,NA,NA,3.28525475903229e-22,NA,1
"CDR3","Model 1","Sequence","No",-0.00904406293136555,NA,NA,NA,NA,NA,NA,NA,0.263517723379046,NA,0.613268200345264,NA,NA,NA,NA,NA,NA,NA,7.4393282720913e-50,NA,1
"CDR3","Model 2","Sequence","Yes",-0.0385118748461593,NA,NA,NA,NA,NA,NA,NA,0.304075794396671,NA,2.91219574161678e-05,NA,NA,NA,NA,NA,NA,NA,1.01926321031253e-278,NA,1
"CDR3","Model 2","Sequence","No",-0.0403658294795187,NA,NA,NA,NA,NA,NA,NA,0.331188089126728,NA,0.000205314277011048,NA,NA,NA,NA,NA,NA,NA,6.271355172297e-229,NA,1
"Full","Model 1","Sequence","Yes",-0.00440266636624191,NA,NA,NA,NA,NA,NA,NA,0.171504620166993,NA,0.79219694544752,NA,NA,NA,NA,NA,NA,NA,1.79383768043309e-25,NA,1
"Full","Model 1","Sequence","No",-0.00656756275903345,NA,NA,NA,NA,NA,NA,NA,0.212223528228459,NA,0.718250520601821,NA,NA,NA,NA,NA,NA,NA,8.72325709790603e-32,NA,1
"Full","Model 2","Sequence","Yes",-0.0289038540921997,NA,NA,NA,NA,NA,NA,NA,0.254497564366327,NA,0.204468432902376,NA,NA,NA,NA,NA,NA,NA,1.14801548468552e-31,NA,1
"Full","Model 2","Sequence","No",-0.0340759744465766,NA,NA,NA,NA,NA,NA,NA,0.312412159758505,NA,0.00209377755811996,NA,NA,NA,NA,NA,NA,NA,4.83176613197718e-182,NA,1
