"Dataset","Model","Approach","NLV","Value_(Intercept)","Value_avg.euc.dist","Value_avg.kas","Value_top.sg.median.kas","Value_top.sg.euc.dist","Value_avg.spearman","Value_top.cosine.sim","Value_kernel.count","Value_CDR3.similarity","Value_full.similarity","Significance_(Intercept)","Significance_avg.euc.dist","Significance_avg.kas","Significance_top.sg.median.kas","Significance_top.sg.euc.dist","Significance_avg.spearman","Significance_top.cosine.sim","Significance_kernel.count","Significance_CDR3.similarity","Significance_full.similarity","Features"
"CDR3","Model 1","Structure","Yes",-0.01102612664152,-0.000352477704889478,0.00414093384711669,0.0613409361104231,0.0353832165186094,0.16433354986556,0.0236499883288022,0.193121697590844,NA,NA,0.619260965408382,0.991541439241376,0.934819177009814,0.195400560504134,0.281300212693874,3.01779935000843e-09,0.326969279924242,1.83991406172309e-10,NA,NA,7
"CDR3","Model 1","Structure","No",-0.0120817796648245,-0.00681657226673477,-0.0958353820026876,0.117283645107936,0.058922415255937,0.201774569780664,0.00470845187286271,0.277287412653905,NA,NA,0.50325478413847,0.806509688324834,0.0261957769985868,0.00391882449493729,0.0296298660243061,2.1954702110682e-17,0.812603604322865,1.0579643405102e-26,NA,NA,7
"CDR3","Model 2","Structure","Yes",-0.039876741945772,-0.0388344399964744,0.0131012277949351,0.0502582679278001,0.0655537943327971,0.110964668333362,0.0250870957139704,0.238889539023069,NA,NA,1.47980344293536e-05,0.0054955313080918,0.532477420113134,0.0115170237570592,1.59497703146744e-06,9.22131502748857e-22,0.0146704645620557,1.27954203025462e-94,NA,NA,7
"CDR3","Model 2","Structure","No",-0.0426332338626093,-0.0203377579977859,-0.0658777418829786,0.108906046528541,0.0133387791998087,0.119122703358375,0.0185216995477176,0.253639265810539,NA,NA,0.0742625528774755,0.575099660414574,0.207461961828546,0.0265000717519766,0.708880241287752,8.78530924208649e-05,0.485936795888767,4.89423132502366e-17,NA,NA,7
"Full","Model 1","Structure","Yes",-0.00967420855065018,-0.0120430784387635,-0.235521452187411,0.144155309928386,-0.0142348943513367,0.0358240780009383,-0.0488521353718041,0.305516932759102,NA,NA,0.565239144037664,0.641317428657677,1.40652966357853e-09,0.000113683493435666,0.569657434966041,0.0691835771979189,0.00812538104898573,8.43030888520657e-42,NA,NA,7
"Full","Model 1","Structure","No",-0.00841147269485959,-0.00331807509577696,-0.209188450500004,0.144021770254,-0.0185031828987147,0.0360433610888183,-0.0117330111160917,0.299113699207522,NA,NA,0.645579475880489,0.906671974322969,5.70046789072712e-07,0.000349662273606768,0.498234309107533,0.0935814391186649,0.560323194832372,4.24402967256102e-33,NA,NA,7
"Full","Model 2","Structure","Yes",-0.0243015626808014,-0.066614989495301,-0.0499403995689377,0.0951891700923955,0.0432167856417847,0.0133348708891812,0.0105901097221736,0.216732840634622,NA,NA,0.00938503948576641,5.79948042872532e-06,0.0179287453732749,2.6912032515114e-06,0.00190928090386699,0.226011457000808,0.311057842613441,5.48476422136757e-74,NA,NA,7
"Full","Model 2","Structure","No",-0.0213330247058844,-0.0585442561855966,-0.0699245664233385,0.128834048300463,-0.00506831846424929,-0.00172994473750158,-0.00692140095175255,0.197973318823181,NA,NA,0.378783370241352,0.10723242628171,0.173063430513018,0.00865608703751268,0.885963599089166,0.947974067015832,0.791776594704934,4.3258455902303e-11,NA,NA,7
"CDR3","Model 1","Structure","Yes",-0.0110375118781483,NA,NA,0.0645927922949205,0.0350797070750141,0.164798824806309,0.0235918259903741,0.193629770555414,NA,NA,0.618884154899737,NA,NA,0.0129608221069141,0.178052469254834,1.26738039247882e-09,0.32645927086614,3.57972588745137e-11,NA,NA,5
"CDR3","Model 1","Structure","No",-0.0112509331074873,NA,NA,0.0453457589411907,0.0521208429325865,0.191738692835272,0.00354401131116003,0.260211111147284,NA,NA,0.532824107101662,NA,NA,0.0360658969404263,0.0151363875589263,9.6109583140493e-17,0.856686295833714,1.22933602164843e-25,NA,NA,5
"CDR3","Model 2","Structure","Yes",-0.0384474638809795,NA,NA,0.0631198485434269,0.0357244998063695,0.113200220407318,0.0231201719280128,0.239616976575864,NA,NA,2.92329479314877e-05,NA,NA,1.60307608748181e-09,0.000904907069199151,6.94460040282666e-24,0.0229580496096154,2.43854993006382e-103,NA,NA,5
"CDR3","Model 2","Structure","No",-0.0431346509846033,NA,NA,0.0577390531236384,0.00365153411878192,0.111880921902365,0.0212100451134792,0.250805597649553,NA,NA,0.0708090925625586,NA,NA,0.0306926331199772,0.896996153705467,0.000161937028898677,0.422818562877957,1.09075505107085e-17,NA,NA,5
"Full","Model 1","Structure","Yes",-0.0066267408436547,NA,NA,-0.0451863909134963,-0.0140991899128135,0.00683456609868031,-0.0463995470797841,0.297382223171179,NA,NA,0.770022481424573,NA,NA,0.0735705654544327,0.596213246671638,0.789318105304524,0.0578466782080085,4.94467859484089e-25,NA,NA,5
"Full","Model 1","Structure","No",-0.00764129156958776,NA,NA,-0.00380712303147149,0.00135804264860514,0.0379520045376775,-0.0157897858068653,0.265610942559144,NA,NA,0.752093785777465,NA,NA,0.890584072655844,0.961946395875604,0.159834651679921,0.549876760251147,1.11639899397942e-17,NA,NA,5
"Full","Model 2","Structure","Yes",-0.0225988203891252,NA,NA,0.0713528934847899,-0.0106846634668137,0.00149957575496003,-0.0042391078644144,0.225883899663044,NA,NA,0.319576158395347,NA,NA,0.00382003581551592,0.685390439721556,0.950933330411332,0.863294922640943,9.44933294006488e-17,NA,NA,5
"Full","Model 2","Structure","No",-0.0216475737152921,NA,NA,0.0743452476704732,-0.0369426613039226,-0.00374360193846981,-0.00274390204293136,0.202814236711733,NA,NA,0.371599116206011,NA,NA,0.00496646793630792,0.195489731993589,0.886627649401773,0.916402639913298,1.71730816894821e-12,NA,NA,5
"CDR3","Model 1","Structure","Yes",-0.0109789071332278,NA,NA,0.0648589861610625,0.0299059371599281,0.16613368261388,NA,0.197447329136514,NA,NA,0.620724309802058,NA,NA,0.0125771164330021,0.241054865038509,8.82798650611974e-10,NA,9.85841390128232e-12,NA,NA,4
"CDR3","Model 1","Structure","No",-0.0113806346691148,NA,NA,0.0451455441063592,0.0534247158845603,0.191441593812494,NA,0.262920120269227,NA,NA,0.528130701149409,NA,NA,0.0367078978464235,0.0108609843880311,7.83835553433763e-17,NA,1.21668412680013e-26,NA,NA,4
"CDR3","Model 2","Structure","Yes",-0.037856811058529,NA,NA,0.0665483401341989,0.030421269217631,0.105681187332914,NA,0.244230822839663,NA,NA,3.84643170463576e-05,NA,NA,1.62409363189457e-10,0.00388466246516874,1.11676455394573e-21,NA,2.21546587547357e-110,NA,NA,4
"CDR3","Model 2","Structure","No",-0.0431118212622841,NA,NA,0.058341115652786,-0.00110898716474875,0.11321505029855,NA,0.253757675988357,NA,NA,0.0709421704771473,NA,NA,0.0289183611082644,0.967924330036071,0.000131197230826608,NA,2.54234562224725e-18,NA,NA,4
"Full","Model 1","Structure","Yes",-0.00773444949987344,NA,NA,-0.0495351381789364,-0.00684212541320184,0.0169030619986448,NA,0.273322496064412,NA,NA,0.645094740805546,NA,NA,0.00843081210149609,0.723954938114735,0.374875908079916,NA,1.46311531725654e-38,NA,NA,4
"Full","Model 1","Structure","No",-0.00768645696231455,NA,NA,-0.00338329484083571,0.0048514541093074,0.0367356358730721,NA,0.262605775554415,NA,NA,0.750669944747444,NA,NA,0.902664357653548,0.861729689604026,0.172345526625622,NA,9.32617838187108e-18,NA,NA,4
