"",".metric","combined.estimate","structure.estimate","sequence.estimate"
"1","accuracy",0.678845171180378,0.572815533980582,0.678845171180378
"2","kap",0.170765227644833,0.0986942500063355,0.172341571621359
"3","sens",0.202586206896552,0.475574712643678,0.20617816091954
"4","spec",0.941712926249009,0.626486915146709,0.939730372720063
"5","precision",0.657342657342657,0.412718204488778,0.65375854214123
"6","recall",0.202586206896552,0.475574712643678,0.20617816091954
"7","bal_accuracy",0.57214956657278,0.551030813895194,0.572954266819802
"8","f_meas",0.453667953667954,0.423924180327869,0.45584498094028
"9","roc_auc",0.594129134877446,0.576537105654152,0.586338924362165
"10","mn_log_loss",0.627181008724678,0.678953431292408,0.629201327375981
