".metric","combined.estimate","structure.estimate","sequence.estimate"
"accuracy",0.600408788962698,0.573326520183955,0.597342871742463
"kap",0.128988103063904,0.100332428212463,0.110868440913811
"sens",0.440373563218391,0.477729885057471,0.407327586206897
"spec",0.688739095955591,0.62609040444092,0.702220459952419
"f_meas",0.439426523297491,0.443333333333333,0.418450184501845
"precision",0.438483547925608,0.413557213930348,0.430197268588771
"recall",0.440373563218391,0.477729885057471,0.407327586206897
"bal_accuracy",0.564556329586991,0.551910144749196,0.554774023079658
"roc_auc",0.593374568167938,0.576573851258352,0.587017151366823
"pr_auc",0.499346697491126,0.464550361472242,0.494079366336153
"mn_log_loss",0.668945772721188,0.678955885617662,0.670746361534152
