"term","combined.estimate","combined.p.value","structure.estimate","structure.p.value","sequence.estimate","sequence.p.value"
"(Intercept)",-0.0683260069950098,2.47504028214095e-13,-0.039876741945772,1.47980344293536e-05,-0.066756697267332,8.09732544823488e-13
"avg.euc.dist",-0.0341853926097985,0.0168105348625073,-0.0388344399964744,0.0054955313080918,NA,NA
"avg.kas",-0.0137906261420942,0.517809961348317,0.0131012277949351,0.532477420113134,NA,NA
"top.sg.median.kas",0.0329934984663423,0.10257794087159,0.0502582679278001,0.0115170237570592,NA,NA
"top.sg.euc.dist",0.0777685706078943,1.95447309785699e-08,0.0655537943327971,1.59497703146744e-06,NA,NA
"avg.spearman",0.0698624752661277,3.18481954271114e-09,0.110964668333362,9.22131502748857e-22,NA,NA
"top.cosine.sim",0.0120590898233177,0.249626432766168,0.0250870957139704,0.0146704645620557,NA,NA
"kernel.count",0.0340334390961883,0.0159267904513746,0.238889539023069,1.27954203025462e-94,NA,NA
"CDR3.similarity",0.185570160237994,1.75678422782517e-76,NA,NA,0.159848227694719,1.48445696213022e-61
"full.similarity",0.262490251515053,2.70052192156376e-83,NA,NA,0.320958778225758,2.86167856234469e-253
