"term","combined.estimate","combined.p.value","structure.estimate","structure.p.value","sequence.estimate","sequence.p.value"
"(Intercept)",-0.0720760756024715,6.64541436313535e-11,-0.0426332338626093,0.0742625528774755,-0.0678792962618215,0.00515399114639945
"avg.euc.dist",-0.0233720065524651,0.173115132938292,-0.0203377579977859,0.575099660414574,NA,NA
"avg.kas",-0.0146915131031677,0.563705357585867,-0.0658777418829786,0.207461961828546,NA,NA
"top.sg.median.kas",0.026113157555911,0.278028055416171,0.108906046528541,0.0265000717519766,NA,NA
"top.sg.euc.dist",0.0562785038543221,0.000706907900635003,0.0133387791998087,0.708880241287752,NA,NA
"avg.spearman",0.0961160233091121,1.70522509770448e-11,0.119122703358375,8.78530924208649e-05,NA,NA
"top.cosine.sim",0.00848250677337849,0.494875048124491,0.0185216995477176,0.485936795888767,NA,NA
"kernel.count",0.0177637625984457,0.301114344178054,0.253639265810539,4.89423132502366e-17,NA,NA
"CDR3.similarity",0.193798635517211,1.7810258470094e-57,NA,NA,0.163449776962658,2.19379296917555e-10
"full.similarity",0.303087827761691,1.03495159114226e-75,NA,NA,0.39417605900978,1.96484074305887e-53
