".metric","combined.estimate","structure.estimate","sequence.estimate"
"accuracy",0.6103125,0.5896875,0.601875
"kap",0.149465133271209,0.105117206302688,0.123686432444237
"sens",0.441480206540448,0.414802065404475,0.410499139414802
"spec",0.70657507360157,0.689401373895976,0.71099116781158
"f_meas",0.451385833699956,0.423364075537989,0.42818671454219
"precision",0.461746174617462,0.432286995515695,0.447467166979362
"recall",0.441480206540448,0.414802065404475,0.410499139414802
"bal_accuracy",0.574027640071009,0.552101719650226,0.560745153613191
"roc_auc",0.59903021591483,0.568639059251164,0.593409809151086
"pr_auc",0.490073858297005,0.446325631679478,0.488887318111851
"mn_log_loss",0.670948430323579,0.681666542511366,0.672779983405653
