".metric","combined.estimate","structure.estimate","sequence.estimate"
"accuracy",0.610625,0.5853125,0.601875
"kap",0.150305848978117,0.107235212742249,0.123686432444237
"sens",0.442340791738382,0.438898450946644,0.410499139414802
"spec",0.70657507360157,0.668792934249264,0.71099116781158
"precision",0.462230215827338,0.430379746835443,0.447467166979362
"recall",0.442340791738382,0.438898450946644,0.410499139414802
"bal_accuracy",0.574457932669976,0.553845692597954,0.560745153613191
"f_meas",0.458110516934046,0.432056929854287,0.439550313306303
"roc_auc",0.598891711525761,0.570942539258393,0.593409809151086
"mn_log_loss",0.671290346616575,0.681611302333949,0.672779983405653
