"Dataset","Approach","Model","NLV","Feature","(Intercept)","avg.euc.dist","avg.kas","top.sg.median.kas","top.sg.euc.dist","avg.spearman","top.cosine.sim","kernel.count","CDR3.similarity","full.similarity"
"CDR3","Combined","Model 1","No","all.features",-0.0243721913525599,0.0696695969499629,-0.115622964906653,0.109221801038094,0.0134098196711049,0.198049382640133,0.00281833320827289,0.0152956860534048,0.14806370750504,0.337143693427487
"CDR3","Combined","Model 1","No","tuned.features",-0.0241053675546272,0.0657039368094947,-0.0840784673103604,0.0826156059454852,0.00970320164021752,0.192799924938952,0,0.00831200664920796,0.146359987134843,0.33504534973921
"CDR3","Combined","Model 1","No","limited.features",-0.0249564743162681,0.0688200646892643,NA,0.0734219480583569,NA,0.181825334343969,NA,0.216182237616741,0.182459533208136,NA
"CDR3","Combined","Model 2","No","all.features",-0.0880993822661771,0.016517168433199,0.0814246895501559,0.0123526088284369,0.056650807071752,0.106965273020899,-0.0359413736423279,-0.0222357267549098,0.220019773855582,0.320151584134548
"CDR3","Combined","Model 2","No","tuned.features",-0.0864872825102921,0.0111750169501275,0.0747478235565221,0.0104640464458424,0.0545212192897653,0.101142422316463,-0.0298355193141522,0,0.214837404384592,0.30143703747754
"CDR3","Combined","Model 2","No","limited.features",-0.0773775974241767,0.033377411380449,NA,0.100410473558876,NA,0.153550761271832,NA,0.139838897296849,0.315024596291125,NA
"CDR3","Structure","Model 1","No","all.features",-0.019672255151048,0.0310940069948981,-0.100002071210075,0.122682750564442,0.0187607161176707,0.249703857080622,0.0204509924112105,0.257753058818482,NA,NA
"CDR3","Structure","Model 1","No","tuned.features",-0.0193792453787439,0.0274796865647854,-0.069193177876105,0.0966093949674873,0.0149694186811324,0.244071549977876,0.017250124586689,0.249472712164769,NA,NA
"CDR3","Structure","Model 1","No","limited.features",-0.0197984655935098,0.0687605002905683,NA,0.0740529983031327,NA,0.186468735544828,NA,0.274719623809219,NA,NA
"CDR3","Structure","Model 2","No","all.features",-0.0536755811737293,-0.0179935387155948,0.10770966737359,0.0200750184512559,0.0508203885120792,0.1559857816755,-0.00700879481260608,0.226229922088215,NA,NA
"CDR3","Structure","Model 2","No","tuned.features",-0.0525095790766364,0,0.10763684375722,0.0167992973305457,0.025992561387713,0.150817987036817,0,0.217021436970032,NA,NA
"CDR3","Structure","Model 2","No","limited.features",-0.0531092433611872,0.0204586303011159,NA,0.101170102005349,NA,0.155406236124711,NA,0.232067819265331,NA,NA
"CDR3","Sequence","Model 1","No","both",-0.0203649276374191,NA,NA,NA,NA,NA,NA,NA,0.141947356136646,0.38482093594447
"CDR3","Sequence","Model 1","No","cdr3",-0.0154083232145125,NA,NA,NA,NA,NA,NA,NA,0.278850560917859,NA
"CDR3","Sequence","Model 1","No","full",-0.0240723377950341,NA,NA,NA,NA,NA,NA,NA,NA,0.419680724688036
"CDR3","Sequence","Model 2","No","both",-0.0816772036679221,NA,NA,NA,NA,NA,NA,NA,0.210678797626177,0.352896427558301
"CDR3","Sequence","Model 2","No","cdr3",-0.0523051165866118,NA,NA,NA,NA,NA,NA,NA,0.393431176156173,NA
"CDR3","Sequence","Model 2","No","full",-0.071174699850952,NA,NA,NA,NA,NA,NA,NA,NA,0.430326015592433
"Full","Combined","Model 1","No","all.features",-0.0206082916341096,-0.026441968860946,-0.236644488975761,0.146974034554451,0.0195371682801217,-0.0395946252003844,-0.0631072033839105,0.13341246817047,0.131414602749141,0.265076370571202
"Full","Combined","Model 1","No","tuned.features",-0.0193249276606003,0,-0.0749206249536916,0,0,-0.012425210700446,-0.0328492388737912,0.100675779880363,0.120076915880179,0.242861125557535
"Full","Combined","Model 1","No","limited.features",-0.0129621929960731,0.0126997090623873,NA,-0.0496686910239562,NA,-0.00562923844043458,NA,0.247011389502398,0.196279815490555,NA
"Full","Combined","Model 2","No","all.features",-0.0601817399973785,0.0456740117867387,-0.00233025730359067,0.0744480903723976,0.0107617547080388,-0.0614442509925294,-0.00787477187178148,0.0899295818144606,0.198970021395927,0.264059550830928
"Full","Combined","Model 2","No","tuned.features",-0.0584859762060714,0.034436793848003,0,0.0627064767031916,0.00396586641430819,-0.0473790132400553,-0.000197562341591087,0.0755349344667036,0.193582210094849,0.255361385868996
"Full","Combined","Model 2","No","limited.features",-0.045180754021518,0.0431488521738857,NA,0.093968494278162,NA,0.0316956048141739,NA,0.216935624977344,0.276919825458581,NA
"Full","Structure","Model 1","No","all.features",-0.0098129547665866,-0.0498345536169522,-0.222638633649347,0.162874943784622,0.00737765425379161,-0.00867394651099645,-0.0411569182444045,0.293310591067424,NA,NA
"Full","Structure","Model 1","No","tuned.features",-0.00959410688271827,-0.0344486386778855,-0.15105967442146,0.096067225528093,0,0,-0.029149468045523,0.277113875262467,NA,NA
"Full","Structure","Model 1","No","limited.features",-0.00968099266810801,0.00586640127588614,NA,-0.0448426278210105,NA,-0.00408718901942572,NA,0.285327002495265,NA,NA
"Full","Structure","Model 2","No","all.features",-0.0243793434916184,0.025804499556428,0.00635683080008031,0.0957411884560556,0.00434726449463333,-0.0199805266124316,0.0156063863212509,0.268630834695998,NA,NA
"Full","Structure","Model 2","No","tuned.features",-0.0228470793894247,0,0,0.0758561531359591,0,0,0,0.234931547033323,NA,NA
"Full","Structure","Model 2","No","limited.features",-0.0229792010346088,0.0370374517137274,NA,0.10098550676039,NA,0.0318272222405692,NA,0.274614355742994,NA,NA
"Full","Sequence","Model 1","No","both",-0.0184658664054525,NA,NA,NA,NA,NA,NA,NA,0.137872578512762,0.280056322553711
"Full","Sequence","Model 1","No","cdr3",-0.00707718269725026,NA,NA,NA,NA,NA,NA,NA,0.243074101478829,NA
"Full","Sequence","Model 1","No","full",-0.0138101032494811,NA,NA,NA,NA,NA,NA,NA,NA,0.357670263747053
