"Dataset","Approach","Model","NLV","Feature","accuracy","kap","sens","spec","f_meas","precision","recall","bal_accuracy","roc_auc","pr_auc","mn_log_loss"
"CDR3","Combined","Model 1","Yes","all.features",0.605,0.13,0.452,0.681,0.431,0.412,0.452,0.567,0.598,0.483,0.664
"CDR3","Combined","Model 1","Yes","limited.features",0.582,0.098,0.46,0.643,0.421,0.388,0.46,0.551,0.578,0.456,0.672
"CDR3","Combined","Model 1","Yes","tuned.features",0.609,0.135,0.45,0.688,0.432,0.416,0.45,0.569,0.597,0.482,0.665
"CDR3","Combined","Model 2","Yes","all.features",0.631,0.072,0.457,0.66,0.261,0.182,0.457,0.558,0.597,0.273,0.666
"CDR3","Combined","Model 2","Yes","limited.features",0.604,0.073,0.507,0.62,0.267,0.181,0.507,0.564,0.59,0.261,0.669
"CDR3","Combined","Model 2","Yes","tuned.features",0.634,0.071,0.45,0.665,0.259,0.182,0.45,0.557,0.597,0.273,0.666
"CDR3","Structure","Model 1","Yes","all.features",0.59,0.11,0.461,0.653,0.426,0.396,0.461,0.557,0.587,0.445,0.674
"CDR3","Structure","Model 1","Yes","limited.features",0.586,0.103,0.459,0.649,0.423,0.392,0.459,0.554,0.584,0.445,0.674
"CDR3","Structure","Model 1","Yes","tuned.features",0.589,0.108,0.46,0.653,0.425,0.395,0.46,0.556,0.585,0.445,0.674
"CDR3","Structure","Model 2","Yes","all.features",0.607,0.043,0.437,0.636,0.241,0.166,0.437,0.536,0.558,0.216,0.68
"CDR3","Structure","Model 2","Yes","limited.features",0.616,0.057,0.451,0.644,0.251,0.174,0.451,0.548,0.563,0.219,0.677
"CDR3","Structure","Model 2","Yes","tuned.features",0.611,0.042,0.428,0.641,0.239,0.165,0.428,0.535,0.557,0.216,0.679
"CDR3","Sequence","Model 1","Yes","all.features",0.59,0.11,0.461,0.653,0.426,0.396,0.461,0.557,0.587,0.445,0.674
"CDR3","Sequence","Model 1","Yes","limited.features",0.586,0.103,0.459,0.649,0.423,0.392,0.459,0.554,0.584,0.445,0.674
