"term","all.features","all.features.p.value","tuned.features","tuned.penalty","limited.features","limited.features.p.value"
"(Intercept)",-0.0776151539715866,0.00258032503538956,-0.0767928922678451,0.00148496826225446,-0.069360259376,0.00667292085769373
"avg.euc.dist",-0.0145688515765024,0.687352478315441,0,0.00148496826225446,0.0492101832659662,0.100209910069452
"avg.kas",0.00921208168130055,0.867846966962079,0.0105209778947193,0.00148496826225446,NA,NA
"top.sg.median.kas",0.0755083504078943,0.147622513042457,0.0714812614835867,0.00148496826225446,0.116042626710191,3.62299001616147e-05
"top.sg.euc.dist",0.0536462625154674,0.144432469797854,0.0327064188966214,0.00148496826225446,NA,NA
"avg.spearman",0.0981177000862014,0.00124947451551654,0.0938079175754966,0.00148496826225446,0.149303285112118,9.36973860329773e-07
"top.cosine.sim",-0.0359660659830341,0.187928913808591,-0.0280659596864304,0.00148496826225446,NA,NA
"kernel.count",0.0356569020350378,0.34306030592358,0.0282912760728009,0.00148496826225446,0.136705164911587,8.26015885560172e-06
"CDR3.similarity",0.188543426888982,1.96090380682652e-12,0.184288105409019,0.00148496826225446,0.239119456097405,2.30431980336346e-21
"full.similarity",0.281548574347165,8.07314844253827e-15,0.27964865854858,0.00148496826225446,NA,NA
