"term","all.features","all.features.p.value","tuned.features","tuned.penalty","limited.features","limited.features.p.value"
"(Intercept)",-0.0880993822661771,0.00177383631899179,-0.0864872825102921,0.00093260334688322,-0.0773775974241767,0.00578729219330219
"avg.euc.dist",0.016517168433199,0.695072514867544,0.0111750169501275,0.00093260334688322,0.033377411380449,0.311311792386554
"avg.kas",0.0814246895501559,0.172905510981,0.0747478235565221,0.00093260334688322,NA,NA
"top.sg.median.kas",0.0123526088284369,0.825782969956309,0.0104640464458424,0.00093260334688322,0.100410473558876,0.00156364850962346
"top.sg.euc.dist",0.056650807071752,0.172303871300523,0.0545212192897653,0.00093260334688322,NA,NA
"avg.spearman",0.106965273020899,0.00138017989555608,0.101142422316463,0.00093260334688322,0.153550761271832,3.69450277181117e-06
"top.cosine.sim",-0.0359413736423279,0.23978992757,-0.0298355193141522,0.00093260334688322,NA,NA
"kernel.count",-0.0222357267549098,0.590787622926975,0,0.00093260334688322,0.139838897296849,5.37118384381613e-05
"CDR3.similarity",0.220019773855582,1.47512734286961e-13,0.214837404384592,0.00093260334688322,0.315024596291125,1.40045458781872e-28
"full.similarity",0.320151584134548,5.98841322154418e-15,0.30143703747754,0.00093260334688322,NA,NA
