"term","all.features","all.features.p.value","tuned.features","tuned.penalty"
"(Intercept)",-0.0364519052172085,0.200950358139979,-0.0363475547385421,0.00475081016210279
"avg.kas",-0.195693195110809,0.000193864657844806,-0.0987970330338925,0.00475081016210279
"avg.euc.dist",0.0898717588333855,0.0446515201445357,0.0602020377423728,0.00475081016210279
"avg.spearman",-0.00207445726968854,0.951233519478863,0,0.00475081016210279
"top.sg.euc.dist",0.0848620863158866,0.0505414770241267,0.0607268427460693,0.00475081016210279
"top.sg.cosine.sim",-0.0419907844814868,0.185509828047929,-0.0162434499342152,0.00475081016210279
"kernel.count",0.484861526645451,5.9792138910771e-19,0.432807520389592,0.00475081016210279
"top.kas",0.069522919593496,0.191749665768348,0,0.00475081016210279
"CDR3.similarity",0.053835915975584,0.087193176792797,0.03862434221034,0.00475081016210279
"full.similarity",0.383420700700174,9.88590166991309e-17,0.347636553678002,0.00475081016210279
