"term","all.features","all.features.p.value","tuned.features","tuned.penalty"
"(Intercept)",-0.0423155382419397,0.141289566333334,-0.0420077286925502,0.000739072203352578
"avg.kas",-0.190063380317373,0.000192847752865856,-0.170672634306809,0.000739072203352578
"avg.euc.dist",0.0306480900622826,0.485777510300949,0.0249301386541812,0.000739072203352578
"avg.spearman",-0.0468183857202236,0.163874668840328,-0.0419815098146953,0.000739072203352578
"top.sg.euc.dist",0.145684129016338,0.000780180806267159,0.139740238458512,0.000739072203352578
"top.sg.cosine.sim",0.024736640774617,0.42485891267674,0.0202588562859388,0.000739072203352578
"kernel.count",0.331078482292683,4.99016030731305e-12,0.326737819648328,0.000739072203352578
"top.kas",0.0907696607137753,0.0861212672278427,0.0714779100690505,0.000739072203352578
"CDR3.similarity",0.0654426060134383,0.0343542895277566,0.0626557387039565,0.000739072203352578
"full.similarity",0.404964238419769,9.64079906504122e-21,0.398623244077527,0.000739072203352578
